source	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	translation
исто	isto	isto	исто	R		92	22	21	advmod		
деца+	deca+	dete+	дете+	Nnpny		92	23	19	appos		
та	ta	toј	тој	Pd--pn		92	24	23	det	p_nom	
.	.	.	.	Z		92	25	21	punct		
											
и	i	i	и	C		93	1	3	cc		And we helped a lot, for someone if he's bad, let's say, at mathematics and at some other subjects, we would sit down, we would go at each other's, we would study, we would help and so on.
си	si	si	си	Px---d		93	2	3	expl		
поможвевме	pomožvevme	pomože	поможе	Vmii1pe		93	3	0	root		
многу	mnogu	mnogu	многу	R		93	4	3	advmod		
за	za	za	за	S		93	5	6	case		
некој	nekoј	nekoј	некој	Pi-msn		93	6	10	nsubj		
ако	ako	ako	ако	C		93	7	10	mark		
е	e	e	е	Vmip3si		93	8	10	cop		
по+	po+	po+	по+	Qc		93	9	10	amod		
слаб	slab	slab	слаб	Amsn		93	10	3	advcl		
да	da	da	да	C		93	11	12	fixed	inf	
речеме	rečeme	reče	рече	Vmip1pe		93	12	10	xcomp		
по	po	po	по	S		93	13	14	case		
математика	matematika	matematika	математика	Nmsnn		93	14	10	obl		
и	i	i	и	C		93	15	16	cc		
други	drugi	drug	друг	A-pn		93	16	17	amod		
некој	nekoј	nekoј	некој	Pi--pn		93	17	18	det	indf	
предмети	predmeti	predmet	предмет	Nmpnn		93	18	14	nmod		
,	,	,	,	Z		93	19	12	punct		
ќе	ќe	ќe	ќе	Vaip		93	20	21	aux	hab	
седневме	sednevme	sedne	седне	Vmii1pe		93	21	12	xcomp		
ќе	ќe	ќe	ќе	Vaip		93	22	23	aux	hab	
одевме	odevme	odi	оди	Vmii1pi		93	23	21	conj		
едни	edni	eden	еден	Pi--pn		93	24	23	nsubj		
кај	kaј	kaј	кај	S		93	25	26	case		
други	drugi	drug	друг	A-pn		93	26	24	nmod		
,	,	,	,	Z		93	27	23	punct		
ќе	ќe	ќe	ќе	Vaip		93	28	29	aux	hab	
учевме	učevme	uči	учи	Vmii1pi		93	29	23	xcomp		
ќе	ќe	ќe	ќе	Vaip		93	30	32	aux	hab	
се	se	se	се	Px---a		93	31	32	expl		
помагавме	pomagavme	pomaga	помага	Vmii1pi		93	32	29	xcomp		
и	i	i	и	C		93	33	34	cc		
така	taka	taka	така	R		93	34	32	advmod		
.	.	.	.	Z		93	35	32	punct		
											
тогаш	togaš	togaš	тогаш	R		94	1	2	advmod		Then we didn't have computers, tv sets, not even TV.
немавме	nemavme	nema	нема	Vmii1pi		94	2	0	root		
компјутери	kompјuteri	kompјuter	компјутер	Nmpnn		94	3	2	obj		
,	,	,	,	Z		94	4	2	punct		
телевизори	televizori	televizor	телевизор	Nmpnn		94	5	3	conj		
,	,	,	,	Z		94	6	5	punct		
телевизија	televiziјa	televiziјa	телевизија	Nfsnn		94	7	8	obj		
немавме	nemavme	nema	нема	Vmii1pi		94	8	2	xcomp		
дури	duri	duri	дури	Q		94	9	7	amod		
.	.	.	.	Z		94	10	8	punct		
											
дури	duri	duri	дури	Q		95	1	2	amod		Even after some years, the first tv sets, in the sixties. 
некогаш	nekogaš	nekogaš	некогаш	R		95	2	3	advmod		
после	posle	posle	после	R		95	3	5	case		
колку	kolku	kolku	колку	R		95	4	5	advmod		
години	godini	godina	година	Nfpnn		95	5	9	obl		
то	to	toa	тоа	Pd-nsn		95	6	9	det		
први+	prvi+	prv+	прв+	A-pn		95	7	9	amod		
те	te	toј	тој	Pd--pn		95	8	7	det	p_nom	
телевизори	televizori	televizor	телевизор	Nmsnn		95	9	0	root		
,	,	,	,	Z		95	10	9	punct		
шеесети+	šeeseti+	šeesetti+	шеесетти+	A-pn		95	11	13	amod		
те	te	te	те	Pd--pn		95	12	11	det	p_nom	
години	godini	godina	година	Nfpnn		95	13	5	nmod		
,	,	,	,	Z		95	14	13	punct		
											
но	no	no	но	C		96	1	3	cc		But we didn't all have tv sets, we couldn't watch.
сите	site	siot	сиот	A-pn		96	2	3	nsubj		
немавме	nemavme	nema	нема	Vmii1pi		96	3	4	cop		
телевизори	televizori	televizor	телевизор	Nmpnn		96	4	0	root		
,	,	,	,	Z		96	5	4	punct		
не	ne	ne	не	Qz		96	6	7	advmod		
можевме	moževme	može	може	Vaii1pi		96	7	9	aux		
да	da	da	да	C		96	8	9	fixed	inf	
гледаме	gledame	gleda	гледа	Vmip1pe		96	9	4	xcomp		
,	,	,	,	Z		96	10	9	punct		
											
поќе	poќe	poveќe	повеќе	R		97	1	2	advmod		We read more books, we read a lot. In Macedonian, yes, yes.
читавме	čitavme	čita	чита	Vmii1pi		97	2	0	root		
книги	knigi	kniga	книга	Nfpnn		97	3	2	obj		
,	,	,	,	Z		97	4	2	punct		
многу	mnogu	mnogu	многу	R		97	5	6	advmod		
читавме	čitavme	čita	чита	Vmii1pi		97	6	2	xcomp		
.	.	.	.	Z		97	7	6	punct		
на	na	na	на	S		97	8	9	case		
македонски	makedonski	makedonski	македонски	Amsn		97	9	6	obl		
да	da	da	да	Q		97	10	6	discourse		
да	da	da	да	Q		97	11	10	conj		
.	.	.	.	Z		97	12	6	punct		
											
секогаш	sekogaš	sekogaš	секогаш	R		98	1	3	advmod		We always spoke Macedonian here.
се	se	se	се	Px---a		98	2	3	expl		
зборвеше	zborveše	zboruva	зборува	Vmii3si		98	3	0	root		
овде	ovde	ovde	овде	R		98	4	3	advmod		
македонски	makedonski	makedonski	македонски	Amsn		98	5	3	obj		
.	.	.	.	Z		98	6	3	punct		
											
и	i	i	и	C		99	1	2	cc		And the dialect, here we spoke in our dialects and all around Macedonia with the dialects.
дијалект+	diјalekt+	diјalekt+	дијалект+	Nmsnn		99	2	6	discourse		
от	ot	toј	тој	Pd-msn		99	3	2	det	p_nom	
овде	ovde	ovde	овде	R		99	4	6	advmod		
си	si	si	си	Px---d		99	5	6	expl		
зборвевме	zborvevme	zboruva	зборува	Vmii1pi		99	6	0	root		
по	po	po	по	S		99	7	8	case		
наши+	naši+	naš+	наш+	A-pn		99	8	10	amod		
те	te	toј	тој	Pd--pn		99	9	8	det	p_nom	
дијалекти	diјalekti	diјalekt	дијалект	Nmpnn		99	10	6	obl		
и	i	i	и	C		99	11	12	cc		
низ	niz	niz	низ	S		99	12	14	case		
цела	cela	cel	цел	Afsn		99	13	14	amod		
македонија	makedoniјa	Makedoniјa	Македонија	Nfsnn		99	14	6	obl		
со	so	so	со	S		99	15	16	case		
дијалекти+	diјalekti+	diјalekt+	дијалект+	Nmpnn		99	16	14	nmod		
те	te	toј	тој	Pd--pn		99	17	16	det	p_nom	
.	.	.	.	Z		99	18	6	punct		
											
а	a	a	а	C		100	1	2	cc		And Serbian, Serbian occupation when the Serbs were, when they occupied in fact Macedonia for Serbs Macedonia, South Serbia and to this day.
српски	srpski	srpski	српски	Amsn		100	2	8	discourse		
,	,	,	,	Z		100	3	2	punct		
српска	srpska	srpski	српски	Afsn		100	4	5	amod		
окупација	okupaciјa	okupaciјa	окупација	Nfsnn		100	5	8	orphan		
кога	koga	koga	кога	C		100	6	8	mark		
биле	bile	e	е	Vmii3pi		100	7	8	cop		
Срби+	Srbi+	Srbin+	Србин+	Nmpny		100	8	0	root		
те	te	toј	тој	Pd--pn		100	9	8	det	p_nom	
кога	koga	koga	кога	C		100	10	11	mark		
окупирале	okupirale	okupira	окупира	Vmii3pi	A-pn	100	11	8	advcl		
всушност	vsušnost	vsušnost	всушност	Qo		100	12	11	discourse		
Македонија	Makedoniјa	Makedoniјa	Македонија	Nfsnn		100	13	11	obj		
за	za	za	за	S		100	14	15	case		
Срби+	Srbi+	Srbin+	Србин+	Nmpny		100	15	11	obl		
те	te	toј	тој	Pd--pn		100	16	15	det	p_nom	
Македонија	Makedoniјa	Makedoniјa	Македонија	Nfsnn		100	17	15	nmod		
,	,	,	,	Z		100	18	11	punct		
јужна	јužna	јužen	јужен	Afsn		100	19	20	amod		
Србија	Srbiјa	Srbiјa	Србија	Nfsnn		100	20	17	appos		
и	i	i	и	C		100	21	22	cc		
ден	den	den	ден	Nmsnn		100	22	23	amod		
денеска	deneska	deneska	денеска	R		100	23	11	advmod		
.	.	.	.	Z		100	24	11	punct		
											
тие	tie	tie	тие	Pp3-pn		101	1	3	nsubj		They think that Macedonia is theirs, and also the Greeks think that Macedonia is theirs.  
си	si	si	си	Px---d		101	2	3	expl		
мислат	mislat	misli	мисли	Vmip3pi		101	3	0	root		
дека	deka	deka	дека	C		101	4	5	mark		
е	e	e	е	Vmip3si		101	5	3	advcl		
нивна	nivna	niven	нивен	Afsn		101	6	7	amod		
Македонија	Makedoniјa	Makedoniјa	Македонија	Nfsnn		101	7	5	nsubj		
,	,	,	,	Z		101	8	5	punct		
исто	isto	isto	исто	R		101	9	10	advmod		
така	taka	taka	така	R		101	10	15	advmod		
и	i	i	и	C		101	11	12	cc		
Грци+	Grci+	Grk+	Грк+	Nmpny		101	12	15	nsubj		
те	te	toј	тој	Pd--pn		101	13	12	det	p_nom	
си	si	si	си	Px---d		101	14	15	expl		
мислат	mislat	misli	мисли	Vmip3pi		101	15	5	conj		
дека	deka	deka	дека	C		101	16	17	mark		
е	e	e	е	Vmip3si		101	17	15	advcl		
нивна	nivna	niven	нивен	Afsn		101	18	19	amod		
Македонија	Makedoniјa	Makedoniјa	Македонија	Nfsnn		101	19	17	nsubj		
.	.	.	.	Z		101	20	17	punct		
											
кога	koga	koga	кога	C		102	1	2	mark		When they divided Macedonia, in 1912 year, the Bulgarians, the Greeks and the Serbs took her.
разделиле	razdelile	razdeli	раздели	Vmp--pe	A-pn	102	2	8	advcl		
Македонија	Makedoniјa	Makedoniјa	Македонија	Nfsnn		102	3	2	obj		
1912	1912	1912	1912	M		102	4	5	nummod		
година	godina	godina	година	Nfsnn		102	5	2	advmod		
,	,	,	,	Z		102	6	2	punct		
ја	јa	taa	таа	Pp3fsa		102	7	8	obj		
зеле	zele	zeme	земе	Vmp--pe	A-pn	102	8	0	root		
Бугари+	Bugari+	Bugarin+	Бугарин+	Nmpny		102	9	8	nsubj		
те	te	toј	тој	Pd--pn		102	10	9	det	p_nom	
,	,	,	,	Z		102	11	8	punct		
Грци+	Grci+	Grk+	Грк+	Nmpny		102	12	9	conj		
те	te	toј	тој	Pd--pn		102	13	13	det	p_nom	
и	i	i	и	C		102	14	15	cc		
Срби+	Srbi+	Srbin+	Србин+	Nmpny		102	15	12	conj		
те	te	toј	тој	Pd--pn		102	16	15	det	p_nom	
.	.	.	.	Z		102	17	8	punct		
											
под	pod	pod	под	S		103	1	2	case		Under Serbs, and that's why we had to learn serbo-croation language in school, but it wasn't spoken.
срби+	srbi+	Srbin+	Србин+	Nmpny		103	2	11	obl		
те	te	toј	тој	Pd--pn		103	3	2	det	p_nom	
и	i	i	и	C		103	4	5	cc		
зато	zato	zatoa	затоа	C		103	5	7	mark		
ние	nie	nie	ние	Pp1-pn		103	6	7	nsubj		
моравме	moravme	mora	мора	Vaii1pi		103	7	11	aux		
на	na	na	на	S		103	8	9	case		
училиште	učilište	učilište	училиште	Nnsnn		103	9	11	obl		
да	da	da	да	C		103	10	11	fixed	inf	
учиме	učime	uči	учи	Vmip1pi		103	11	0	root		
српско-хрватски	srpsko-xrvatski	srpsko-xrvatski	српско-хрватски	Amsn		103	12	13	amod		
јазик	јazik	јazik	јазик	Nmsnn		103	13	11	obj		
ама	ama	ama	ама	C		103	14	17	cc		
не	ne	ne	не	Qz		103	15	17	advmod		
се	se	se	се	Px---a		103	16	17	expl		
зборуваше	zboruvaše	zboruva	зборува	Vmii3si		103	17	11	xcomp		
											
то	to	toa	тоа	Pp3nsn		104	1	2	nsubj		That was somewhere in the first world war, the Serbs were here rulling.
било	bilo	e	е	Vmp--si	Ansn	104	2	0	root		
некаде	nekade	nekade	некаде	R		104	3	2	advmod		
во	vo	vo	во	S		104	4	5	case		
прва+	prva+	prv+	прв+	Afsn		104	5	7	nummod		
та	ta	toј	тој	Pd-fsn		104	6	5	det	p_nom	
светска	svetska	svetski	светски	Afsn		104	7	8	amod		
војна	voјna	voјna	војна	Nfsnn		104	8	2	obl		
,	,	,	,	Z		104	9	2	punct		
Срби+	Srbi+	Srbin+	Србин+	Nmpny		104	10	12	nsubj		
те	te	toј	тој	Pd--pn		104	11	10	det	p_nom	
биле	bile	e	е	Vmp--pi	A-pn	104	12	2	conj		
тука	tuka	tuka	тука	R		104	13	12	advmod		
владееле	vladeele	vladee	владее	Vmp--pi	A-pn	104	14	12	xcomp		
,	,	,	,	Z		104	15	14	punct		
											
пред	pred	pred	пред	S		105	1	2	case		Before that some part of Macedonia was under the Bulgarians, this nowadays Macedonia.
тоа	toa	toa	тоа	Pp3nsn		105	2	7	obl		
некој	nekoј	nekoј	некој	Pi-msn		105	3	4	det	indf	
дел	del	del	дел	Nmsnn		105	4	7	nsubj		
од	od	od	од	S		105	5	6	case		
македонија	makedoniјa	Makedoniјa	Македонија	Nfsnn		105	6	4	nmod		
беше	beše	e	е	Vmii3si		105	7	0	root		
под	pod	pod	под	S		105	8	9	case		
Бугари+	Bugari+	Bugarin+	Бугарин+	Nmpny		105	9	7	obl		
те	te	toј	тој	Pd--pn		105	10	9	det	p_nom	
,	,	,	,	Z		105	11	7	punct		
ова	ova	ovoј	овој	Pd-fsn		105	12	13	det		
денешна	denešna	denešen	денешен	Afsn		105	13	14	amod		
македонија	makedoniјa	Makedoniјa	Македонија	Nfsnn		105	14	6	appos		
											
а	a	a	а	C		106	1	2	cc		And also the Greeks took many parts of Macedonia, here Lake Prespa is divided to the Greeks, and to the Albanians and it's left with us.
исто	isto	isto	исто	R		106	2	3	advmod		
така	taka	taka	така	R		106	3	8	advmod		
и	i	i	и	C		106	4	5	cc		
Грци+	Grci+	Grk+	Грк+	Nmpny		106	5	8	nsubj		
те	te	toј	тој	Pd--pn		106	6	5	det	p_nom	
си	si	si	си	Px---d		106	7	8	expl		
зеле	zele	zeme	земе	Vmp--pe	A-pn	106	8	0	root		
доста	dosta	dosta	доста	R		106	9	10	amod		
делови	delovi	del	дел	Nmpnn		106	10	8	obj		
од	od	od	од	S		106	11	12	case		
македонија	makedoniјa	Makedoniјa	Македонија	Nfsnn		106	12	10	nmod		
,	,	,	,	Z		106	13	8	punct		
ваму	vamu	vamu	ваму	R		106	14	18	advmod		
преспанско	prespansko	Prespansko	Преспанско	Ansn		106	15	16	amod		
езеро	ezero	ezero	езеро	Nnsnn		106	16	17	nsubj		
е	e	e	е	Vmip3si		106	17	18	cop		
поделено	podeleno	podelen	поделен	Ansn		106	18	8	conj		
и	i	i	и	C		106	19	20	cc		
на	na	na	на	S		106	20	21	case		
Грци+	Grci+	Grk+	Грк+	Nmpny		106	21	18	obl		
те	te	toј	тој	Pd--pn		106	22	21	det	p_nom	
и	i	i	и	C		106	23	24	cc		
на	na	na	на	S		106	24	25	case		
Албанци+	Albanci+	Albanec+	Албанец+	Nmpny		106	25	21	conj		
те	te	toј	тој	Pd--pn		106	26	25	det	p_nom	
и	i	i	и	C		106	27	28	cc		
кај	kaј	kaј	кај	S		106	28	29	case		
нас	nas	nie	ние	Pp1-pa		106	29	25	conj		
останато	ostanato	ostanat	останат	Ansn		106	30	18	xcomp		
е	e	e	е	Vmip3si		106	31	30	cop		
.	.	.	.	Z		106	32	30	punct		
											
значи	znači	znači	значи	Qo		107	1	5	discourse		So we here, Prespa, are on the borderline between Greece, Albania and Macedonia is there, on the borderline.
ние	nie	nie	ние	Pp1-pn		107	2	5	nsubj		
овде	ovde	ovde	овде	R		107	3	5	advmod		
преспа	prespa	Prespa	Преспа	Nfsnn		107	4	3	appos		
сме	sme	e	е	Vmip1pi		107	5	0	root		
на	na	na	на	S		107	6	7	case		
тромеѓе+	tromeѓe+	tromeѓa+	тромеѓа+	Nnsnn		107	7	5	obl		
то	to	toј	тој	Pd-nsn		107	8	7	det	p_nom	
меѓу	meѓu	meѓu	меѓу	S		107	9	10	case		
грција	grciјa	Grciјa	Грција	Nfsnn		107	10	7	nmod		
,	,	,	,	Z		107	11	5	punct		
албанија	albaniјa	Albaniјa	Албанија	Nfsnn		107	12	10	conj		
и	i	i	и	C		107	13	14	cc		
македонија	makedoniјa	Makedoniјa	Македонија	Nfsnn		107	14	16	nsubj		
тука	tuka	tuka	тука	R		107	15	16	advmod		
е	e	e	е	Vmip1si		107	16	5	conj		
,	,	,	,	Z		107	17	16	punct		
во	vo	vo	во	S		107	18	19	case		
меѓе+	meѓe+	meѓa+	меѓа+	Nnsnn		107	19	16	advmod		
то	to	toј	тој	Pd-nsn		107	20	19	det	p_nom	
.	.	.	.	Z		107	21	20	punct		
											
исто	isto	isto	исто	R		108	1	2	advmod		The same it abounds a lot with, we have many churches, we have went then, at that time.
изобилуват	izobiluvat	izobiluva	изобилува	Vmip3si		108	2	0	root		
многу	mnogu	mnogu	многу	R		108	3	2	advmod		
со	so	so	со	S		108	4	8	case		
,	,	,	,	Z		108	5	2	punct		
имаме	imame	ima	има	Vmip1pi		108	6	2	xcomp		
многу	mnogu	mnogu	многу	R		108	7	8	amod		
цркви	crkvi	crkva	црква	Nfpnn		108	8	6	obj		
,	,	,	,	Z		108	9	6	punct		
сме	sme	e	е	Vmip1pi		108	10	11	cop		
оделе	odele	odi	оди	Vmp--pi	A-pn	108	11	6	xcomp		
тогаш	togaš	togaš	тогаш	R		108	12	11	advmod		
на	na	na	на	S		108	13	14	case		
време+	vreme+	vreme+	време+	Nnsnn		108	14	11	obl		
то	to	toј	тој	Pd-nsn		108	15	14	det	p_nom	
,	,	,	,	Z		108	16	11	punct		
											
не	ne	ne	не	C		109	1	2	cc		Not like in church, in a spiritual temple to pray and to know God, but we went like on a trip, to travel, to see.
како	kako	kako	како	S		109	2	4	case		
во	vo	vo	во	S		109	3	4	case		
црква	crkva	crkva	црква	Nfsnn		109	4	11	obl		
,	,	,	,	Z		109	5	4	punct		
во	vo	vo	во	S		109	6	7	case		
духовен	duxoven	duxoven	духовен	Amsn		109	7	8	amod		
храм	xram	xram	храм	Nmsnn		109	8	4	nmod		
да	da	da	да	C		109	9	11	fixed	inf	
се	se	se	се	Px---a		109	10	11	expl		
молиме	molime	moli	моли	Vmip1pi		109	11	0	root		
и	i	i	и	C		109	12	13	cc		
да	da	da	да	C		109	13	15	fixed	inf	
го	go	toј	тој	Pp3msa		109	14	15	expl		
спознаеме	spoznaeme	spoznae	спознае	Vmip1pe		109	15	11	xcomp		
бога	boga	bog	бог	Nmsay		109	16	15	obj		
,	,	,	,	Z		109	17	15	punct		
туку	tuku	tuku	туку	C		109	18	20	mark		
сме	sme	e	е	Vmip1pi		109	19	20	cop		
оделе	odele	odi	оди	Vmp--pi	A-pn	109	20	15	advcl		
како	kako	kako	како	S		109	21	23	case		
на	na	na	на	S		109	22	23	case		
ексурзија	eksurziјa	ekskurziјa	екскурзија	Nfsnn		109	23	20	obl		
да	da	da	да	C		109	24	25	fixed	inf	
прошетаме	prošetame	prošeta	прошета	Vmip1pe		109	25	20	xcomp		
да	da	da	да	C		109	26	27	fixed	inf	
видиме	vidime	vidi	види	Vmip1pe		109	27	25	xcomp		
											
и	i	i	и	C		110	1	3	cc		And there's a church here, there are some other things here.
овде	ovde	ovde	овде	R		110	2	3	advmod		
има	ima	ima	има	Vmip3si		110	3	0	root		
црква	crkva	crkva	црква	Nfsnn		110	4	3	obj		
овде	ovde	ovde	овде	R		110	5	6	advmod		
имат	imat	ima	има	Vmip3si		110	6	3	xcomp		
некој	nekoј	nekoј	некој	Pi--pn		110	7	8	det	indf	
други	drugi	drug	друг	A-pn		110	8	9	amod		
работи	raboti	rabota	работа	Nfpnn		110	9	6	obj		
,	,	,	,	Z		110	10	6	punct		
											
не	ne	nie	ние	Pp1-pa		111	1	2	obj		They took us on camping, on, then it was called that.
носеле	nosele	nosi	носи	Vmp--pi	A-pn	111	2	0	root		
на	na	na	на	S		111	3	4	case		
логорување	logoruvanje	logoruvanje	логорување	Nnsnn		111	4	2	obl		
,	,	,	,	Z		111	5	2	punct		
на	na	na	на	S		111	6	9	orph		
тогаш	togaš	togaš	тогаш	R		111	7	9	advmod		
се	se	se	се	Px---a		111	8	9	expl		
викаше	vikaše	vika	вика	Vmii3si		111	9	2	conj		
така	taka	taka	така	R		111	10	9	advmod		
тоа	toa	toa	тоа	Pp3nsn		111	11	9	nsubj		
											
деца	deca	dete	дете	Nnpny		112	1	3	nsubj		Children would go on a break, on this school break, what was it called, canicule.
ќе	ќe	ќe	ќе	Vaip		112	2	3	aux	hab	
одевме	odevme	odi	оди	Vmii1pi		112	3	0	root		
на	na	na	на	S		112	4	5	case		
распуст	raspust	raspust	распуст	Nmsnn		112	5	3	obl		
на	na	na	на	S		112	6	7	case		
овие	ovie	ovoј	овој	Pd--pn		112	7	8	det		
школски	školski	školski	школски	Amsn		112	8	9	amod		
распуст	raspust	raspust	распуст	Nmsnn		112	9	5	appos		
,	,	,	,	Z		112	10	3	punct		
како	kako	kako	како	Pq		112	11	13	advmod		
се	se	se	се	Px---a		112	12	13	expl		
викаше	vikaše	vika	вика	Vmii3se		112	13	3	xcomp		
.	.	.	.	Z		112	14	13	punct		
каникула	kanikula	kanikula	каникула	Nfsnn		112	15	9	nmod		
,	,	,	,	Z		112	16	15	punct		
											
одевме	odevme	odi	оди	Vmia1pi		113	1	0	root		We went like that.
така	taka	taka	така	R		113	2	1	advmod		
на	na	na	на	S		113	3	1	orph		
											
и	i	i	и	C		114	1	9	cc		And then, that time I really like.
тогаш	togaš	togaš	тогаш	R		114	2	9	advmod		
тоа	toa	toa	тоа	Pd-nsn		114	3	5	det		
то	to	toa	тоа	Pd-nsn		114	4	5	rep		
време	vreme	vreme	време	Nnsnn		114	5	9	nsubj		
многу	mnogu	mnogu	многу	R		114	6	9	advmod		
ми	mi	јas	јас	Pp1-sd		114	7	9	obl		
се	se	se	се	Px---a		114	8	9	expl		
допаѓат	dopaѓat	dopaѓa	допаѓа	Vmip3si		114	9	0	root		
											
и	i	i	и	C		115	1	4	cc		And there we had a really nice friendship with all the children.
таму	tamu	tamu	таму	R		115	2	4	advmod		
дружба	družba	družba	дружба	Nfsnn		115	3	4	obj		
имавме	imavme	ima	има	Vmii1pi		115	4	0	root		
многу	mnogu	mnogu	многу	R		115	5	4	advmod		
убава	ubava	ubav	убав	Afsn		115	6	3	amod		
со	so	so	со	S		115	7	9	case		
сите	site	siot	сиот	A-pn		115	8	9	amod		
деца	deca	dete	дете	Nnpny		115	9	4	obl		
											
се	se	se	се	Px---a		116	1	2	expl		We hang out, ate.
дружевме	druževme	druži	дружи	Vmii1pi		116	2	0	root		
јадевме	јadevme	јade	јаде	Vmii1pi		116	3	2	xcomp		
											
па	pa	pa	па	C		117	1	4	cc		So they would prepare us the food.
ќе	ќe	ќe	ќе	Vaip		117	2	4	aux	hab	
ни	ni	nie	ние	Pp1-pd		117	3	4	obl	iobj	
напраеја	napraeјa	napravi	направи	Vmia3pe		117	4	0	root		
јадење+	јadenje+	јadenje+	јадење+	Nnsnn		117	5	4	obj		
то	to	toј	тој	Pd-nsn		117	6	5	det	p_nom	
											
ние	nie	nie	ние	Pp1-pn		118	1	7	nsubj		We at home could not eat it.
дома	doma	doma	дома	R		118	2	7	advmod		
не	ne	ne	не	Qz		118	3	4	advmod		
можевме	moževme	može	може	Vaii1pi		118	4	7	aux		
да	da	da	да	C		118	5	7	fixed	inf	
го	go	toј	тој	Pp3nsa		118	6	7	obj		
јадиме	јadime	јade	јаде	Vmip1pi		118	7	0	root		
,	,	,	,	Z		118	8	7	punct		
											
многу	mnogu	mnogu	многу	R		119	1	4	advmod		We really liked the food there.
ни	ni	nie	ние	Pp1-pn		119	2	4	obl	iobj	
се	se	se	се	Px---a		119	3	4	expl		
бендисваше	bendisvaše	bendisuva	бендисува	Vmii3si		119	4	0	root		
јадење+	јadenje+	јadenje+	јадење+	Nnsnn		119	5	4	nsubj		
то	to	toј	тој	Pd-nsn		119	6	5	det	p_nom	
таму	tamu	tamu	таму	R		119	7	4	advmod		
,	,	,	,	Z		119	8	4	punct		
											
ко	ko	koga	кога	Pq		120	1	3	mark		When we would sit to eat meat.
ќе	ќe	ќe	ќе	Vaip		120	2	3	aux	hab	
седневме	sednevme	sedne	седне	Vmii1pe		120	3	0	root		
да	da	da	да	C		120	4	5	fixed	inf	
ручаме	ručame	ruča	руча	Vmip1pi		120	5	3	xcomp		
месо	meso	meso	месо	Nmsnn		120	6	5	obj		
											
ќе	ќe	ќe	ќе	Vaip		121	1	2	aux	hab	There would have been some richer meal.
имаше	imaše	ima	има	Vmii3si		121	2	0	root		
нешто	nešto	nešto	нешто	Pi		121	3	2	obj		
така	taka	taka	така	R		121	4	3	nmod		
по+	po+	po+	по+	Qc		121	5	6	amod		
богато	bogato	bogat	богат	Ansn		121	6	7	amod		
јадејне	јadeјne	јadenje	јадење	Nnsnn		121	7	2	conj		
											
и	i	i	и	C		122	1	5	cc		And we liked that a lot.
то	to	toa	тоа	Pp3nsn		122	2	5	nsubj		
ни	ni	nie	ние	Pp1-pd		122	3	5	obl	iobj	
се	se	se	се	Px---a		122	4	5	expl		
бендисвеше	bendisveše	bendisuva	бендисува	Vmii3si		122	5	0	root		
многу	mnogu	mnogu	многу	R		122	6	5	advmod		
.	.	.	.	Z		122	7	5	punct		
											
и	i	i	и	C		123	1	2	cc		And so, the friendship.
така	taka	taka	така	R		123	2	3	discourse		
дружење+	druženje+	druženje+	дружење+	Nnsnn		123	3	0	root		
то	to	toј	тој	Pd-nsn		123	4	3	det	p_nom	
.	.	.	.	Z		123	5	3	punct		
											
па	pa	pa	па	C		124	1	3	cc		So, there was a lot in gymnasium.
многу	mnogu	mnogu	многу	R		124	2	3	advmod		
имаше	imaše	ima	има	Vmii3si		124	3	0	root		
во	vo	vo	во	S		124	4	5	case		
гимназија	gimnaziјa	gimnaziјa	гимназија	Nfsnn		124	5	3	obl		
											
ко	ko	koga	кога	Pq		125	1	2	mark		When we were on excursion once, on the Lake Prespa, and we went with a boat on the island Golem Grad.
бевме	bevme	e	е	Vmii1pi		125	2	11	advcl		
еднуш	ednuš	ednaš	еднаш	R		125	3	2	advmod		
на	na	na	на	S		125	4	5	case		
излет	izlet	izlet	излет	Nmsnn		125	5	2	obl		
во	vo	vo	во	S		125	6	7	case		
Преспанско+	Prespansko+	Prespansko+	Преспанско+	Ansn		125	7	9	amod		
во	vo	ovoј	овој	Pd-nsn		125	8	7	det	p_nom	
езеро	ezero	ezero	езеро	Nnsnn		125	9	5	nmod		
и	i	i	и	C		125	10	11	cc		
ојдовме	oјdovme	odi	оди	Vmia1pi		125	11	0	root		
со	so	so	со	S		125	12	13	case		
брод	brod	brod	брод	Nmsnn		125	13	11	obl		
на	na	na	на	S		125	14	15	case		
остров+	ostrov+	ostrov+	остров+	Nmsnn		125	15	13	nmod		
от	ot	toј	тој	Pd-msn		125	16	15	det	p_nom	
голем	golem	Golem	Голем	Amsn		125	17	18	amod		
град	grad	Grad	Град	Nmsnn		125	18	15	flat		
.	.	.	.	Z		125	19	11	punct		
											
и	i	i	и	C		126	1	4	cc		And it was a sad incident and I can never forget about that incident.
тажна	tažna	tažen	тажен	Afsn		126	2	3	amod		
случка	slučka	slučka	случка	Nfsnn		126	3	4	nsubj		
беше	beše	e	е	Vmii3si		126	4	0	root		
и	i	i	и	C		126	5	7	cc		
не	ne	ne	не	Qz		126	6	7	advmod		
можам	možam	može	може	Vaip1si		126	7	11	aux		
никогаш	nikogaš	nikogaš	никогаш	R		126	8	7	advmod		
да	da	da	да	C		126	9	11	fixed	inf	
ја	јa	taa	таа	Pp3fsa		126	10	11	expl		
заборам	zaboram	zaboravi	заборави	Vmip1se		126	11	4	xcomp		
та	ta	taa	таа	Pd-fsn		126	12	13	det		
